date,rot_num_away_team,away_team_name,rot_num_home_team,home_team_name,away_team_runline_open,away_team_runline_open_odds,home_team_runline_open,home_team_runline_open_odds,away_team_runline_close,away_team_runline_close_odds,home_team_runline_close,home_team_runline_close_odds,away_team_moneyline_open,home_team_moneyline_open,away_team_moneyline_close,home_team_moneyline_close,over_open,over_open_odds,under_open,under_open_odds,over_close,over_close_odds,under_close,under_close_odds
Sun Jun 05,919,Twins,920,Blue Jays,+1.5,-135,-1.5,-135,+1.5,+105,-1.5,-110,+155,-180,+220,-245,o8.5,-110,u8.5,-110,o8.5,-105,u8.5,-105
Sun Jun 05,903,Nationals,904,Reds,+1.5,-160,-1.5,-160,+1.5,-115,-1.5,+114,+115,-135,+165,-175,o9,-105,u9,-115,o10,-105,u9.5,+100
Sun Jun 05,921,White Sox,922,Rays,-1.5,+145,+1.5,+145,-1.5,+160,+1.5,-175,-120,+100,-105,-102,o7,-115,u7,-105,o7.5,+100,u7,+105
Sun Jun 05,905,Giants,906,Marlins,-1.5,+138,+1.5,+138,-1.5,+140,+1.5,-140,-126,+108,-125,+108,o7.5,-118,u7.5,-104,o8.5,-105,u8,-104
Sun Jun 05,907,Padres,908,Brewers,-1.5,+130,+1.5,+130,-1.5,+165,-1.5,+168,-125,+105,+112,-125,o7.5,100,u7.5,-120,o7.5,-105,u7,+104
Sun Jun 05,923,Astros,924,Royals,-1.5,-130,+1.5,-130,-2.5,+105,+1.5,+125,-200,+170,-225,+850,o9,-105,u9,-115,o9.5,+102,u9,+100
Sun Jun 05,925,Mariners,926,Rangers,+1.5,-195,-1.5,-195,-1.5,+175,-1.5,+155,+105,-125,+120,+600,o8.5,-110,u8.5,-110,o8,+100,u7.5,-105
Sun Jun 05,911,Braves,912,Rockies,-1.5,-115,+1.5,-115,-1.5,-103,+1.5,-105,-160,+140,-143,+138,o12,-115,u12,-105,o11,-105,u11,-103
Sun Jun 05,927,Red Sox,928,Athletics,+1.5,-210,-1.5,-210,-1.5,+168,-1.5,+180,+100,-120,+100,-114,o7,-110,u7,-110,o7.5,+105,u7,+105
Sun Jun 05,913,Mets,914,Dodgers,+1.5,-120,-1.5,-120,+1.5,-120,-1.5,+110,+165,-195,+160,-175,o9,100,u9,-120,o9.5,+105,u9,-105
Sun Jun 05,909,Cardinals,910,Cubs,-1.5,+134,+1.5,+134,-1.5,+120,-1.5,+230,-135,+115,-134,+120,o8.5,-105,u8.5,-115,o9,+105,u8.5,+105
Sat Jun 04,967,Tigers,968,Yankees,+1.5,-110,-1.5,-110,+1.5,+150,-2.5,-110,+195,-240,+295,-350,o8,-105,u8,-115,o9,+100,u9,-105
Sat Jun 04,951,Cardinals,952,Cubs,-1,+105,+1,+105,-1.5,+158,+1.5,-170,-118,+100,-104,-108,o9.5,-100,u9.5,-118,o9,+105,u8.5,+105
Sat Jun 04,969,Twins,970,Blue Jays,+1.5,-160,-1.5,-160,+1.5,-130,-1.5,+114,+120,-140,+165,-180,o9,-110,u9,-110,o9,+100,u8.5,+105
Sat Jun 04,971,Mariners,972,Rangers,-1.5,+145,+1.5,+145,-1.5,+165,-1.5,+168,-110,-110,+112,-125,o9,-110,u9,-110,o9,+105,u8.5,+105
Sat Jun 04,973,Guardians,974,Orioles,-1.5,+150,+1.5,+150,-1.5,+145,+1.5,-135,-110,-110,-120,+107,o8,-110,u8,-110,o8,+100,u7.5,+115
Sat Jun 04,953,Diamondbacks,954,Pirates,+1.5,-200,-1.5,-200,-1.5,+175,-1.5,+165,-105,-115,+110,-120,o8.5,-105,u8.5,-115,o8.5,+100,u8,+100
Sat Jun 04,975,Red Sox,976,Athletics,-1.5,+145,+1.5,+145,-1.5,+120,+1.5,-115,-120,+100,-143,+130,o7.5,-105,u7.5,-115,o8,+100,u7.5,+105
Sat Jun 04,957,Padres,958,Brewers,+1.5,-200,-1.5,-200,+1.5,-185,-1.5,+160,+100,-120,+116,-126,o7.5,-105,u7.5,-115,o7.5,+100,u7,+105
Sat Jun 04,955,Nationals,956,Reds,-1.5,+140,+1.5,+140,+1.5,-145,-1.5,+148,-110,-110,+120,-120,o9.5,-110,u9.5,-110,o10.5,+100,u9.5,+110
Sat Jun 04,979,Astros,980,Royals,-1.5,-110,+1.5,-110,-2.5,+120,+1.5,+125,-175,+150,-200,+190,o9,-100,u9,-118,o9.5,-103,u9.5,-105
Sat Jun 04,959,Giants,960,Marlins,-1.5,+135,+1.5,+135,-1.5,+175,+1.5,-185,-135,+115,+100,-110,o6.5,-115,u6.5,-105,o7,+105,u6.5,+115
Sat Jun 04,977,White Sox,978,Rays,-1.5,+150,+1.5,+150,+1.5,-195,-1.5,+176,-115,-105,+110,-124,o6.5,-120,u6.5,100,o7.5,+115,u7,-120
Sat Jun 04,981,Angels,982,Phillies,+1.5,-140,-1.5,-140,+1.5,-125,-1.5,+165,+142,-168,+150,-120,o8,-110,u8,-110,o8.5,-104,u8.5,-110
Sat Jun 04,961,Cardinals,962,Cubs,-1,+115,+1,+115,-1.5,+150,+1.5,-160,-118,+100,-110,+105,o9.5,-100,u9.5,-118,o8.5,-105,u8,-102
Sat Jun 04,963,Braves,964,Rockies,-1.5,-110,+1.5,-110,-1.5,-105,+1.5,+116,-155,+135,-155,+175,o11.5,-110,u11.5,-110,o12.5,+105,u11,-105
Sat Jun 04,965,Mets,966,Dodgers,+1.5,-130,-1.5,-130,+1.5,-120,-1.5,+115,+155,-180,+165,-180,o8.5,-110,u8.5,-110,o8.5,+105,u9,-105
